Week,AwayTeamName,AwayTeamID,HomeTeamName,HomeTeamID,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,Conference_away,Conference_home
1,South Carolina State Bulldogs,190,Charlotte 49ers,142,,,2023-08-30T22:00:00,False,,American Athletic
1,South Alabama Jaguars,330,Tulane Green Wave,10,-4.8,38.2,2023-08-31T00:00:00,False,Sun Belt - West,American Athletic
1,North Carolina A&T Aggies,196,UAB Blazers,134,,,2023-08-29T00:00:00,False,,American Athletic
1,Gardner-Webb Bulldogs,83,Appalachian State Mountaineers,331,,,2023-08-30T19:30:00,False,,Sun Belt - East
1,Rhode Island Rams,50,Georgia State Panthers,328,,,2023-08-28T23:00:00,False,,Sun Belt - East
1,Bucknell Bison,257,James Madison Dukes,126,,,2023-08-30T22:00:00,False,,Sun Belt - East
1,Alcorn State Braves,307,Southern Miss Golden Eagles,143,,,2023-08-30T23:00:00,False,,Sun Belt - West
1,Stephen F. Austin Lumberjacks,291,Troy Trojans,333,,,2023-08-30T23:00:00,False,,Sun Belt - West
1,Albany Great Danes,13,Marshall Thundering Herd,136,,,2023-08-30T22:00:00,False,,Sun Belt - East
1,The Citadel Bulldogs,288,Georgia Southern Eagles,329,,,2023-08-30T22:00:00,False,,Sun Belt - East
1,Northwestern State Demons,301,Louisiana Ragin Cajuns,324,,,2023-08-30T23:30:00,False,,Sun Belt - West
1,Long Island University Sharks,229,Ohio Bobcats,180,,,2023-08-30T16:00:00,False,,Mid-American - East
1,Ohio Bobcats,180,San Diego State Aztecs,212,-2.1,34.4,2023-08-23T23:00:00,False,Mid-American - East,Mountain West
1,Howard Bison,195,Eastern Michigan Eagles,187,,,2023-08-29T22:30:00,False,,Mid-American - West
1,St. Francis (PA) Red Flash,225,Western Michigan Broncos,188,,,2023-08-28T23:00:00,False,,Mid-American - West
1,Robert Morris Colonials,230,Air Force Falcons,221,,,2023-08-30T17:00:00,False,,Mountain West
1,Idaho State Bengals,72,San Diego State Aztecs,212,,,2023-08-31T02:30:00,False,,Mountain West
1,Bryant Bulldogs,231,UNLV Rebels,218,,,2023-08-30T20:00:00,False,,Mountain West
1,East Tennessee State Buccaneers,282,Jacksonville State Gamecocks,238,,,2023-08-30T18:00:00,False,,Conference USA
2,Charlotte 49ers,142,Maryland Terrapins,92,,,2023-09-12T23:30:00,False,American Athletic,Big Ten - East
2,Richmond Spiders,52,Michigan State Spartans,97,,,2023-09-12T19:30:00,False,,Big Ten - East
2,UNLV Rebels,218,Michigan Wolverines,95,,,2023-09-12T19:30:00,False,Mountain West,Big Ten - East
2,Eastern Michigan Eagles,187,Minnesota Golden Gophers,104,,,2023-09-12T23:30:00,False,Mid-American - West,Big Ten - West
2,Middle Tennessee Blue Raiders,135,Missouri Tigers,280,,,2023-09-12T23:00:00,False,Conference USA,SEC - East
2,Vanderbilt Commodores,273,Wake Forest Demon Deacons,34,,,2023-09-12T15:00:00,False,SEC - East,Atlantic Coast
2,Temple Owls,2,Rutgers Scarlet Knights,103,,,2023-09-12T23:30:00,False,American Athletic,Big Ten - East
2,Youngstown State Penguins,155,Ohio State Buckeyes,98,,,2023-09-12T16:00:00,False,,Big Ten - East
2,Delaware Blue Hens,133,Penn State Nittany Lions,101,,,2023-09-12T16:00:00,False,,Big Ten - East
2,North Texas Mean Green,141,Florida International Panthers,140,,,2023-09-12T22:30:00,False,American Athletic,Conference USA
2,UConn Huskies,3,Georgia State Panthers,328,,,2023-09-12T23:00:00,False,FBS Independents,Sun Belt - East
2,Illinois Fighting Illini,102,Kansas Jayhawks,106,,,2023-09-11T23:30:00,False,Big Ten - West,Big 12
2,New Mexico State Aggies,344,Liberty Flames,84,,,2023-09-12T22:00:00,False,Conference USA,Conference USA
2,Northwestern State Demons,301,Louisiana Tech Bulldogs,137,,,2023-09-12T23:00:00,False,,Conference USA
2,Texas A&M Aggies,270,Miami Hurricanes,23,10.3,,2023-09-12T19:30:00,False,SEC - West,Atlantic Coast
2,Auburn Tigers,279,California Golden Bears,251,,,2023-09-13T02:30:00,False,SEC - West,Pac-12
2,Air Force Falcons,221,Sam Houston Bearkats,295,,,2023-09-13T00:00:00,True,Mountain West,Conference USA
2,Furman Paladins,283,South Carolina Gamecocks,267,,,2023-09-12T23:30:00,False,,SEC - East
2,Purdue Boilermakers,94,Virginia Tech Hokies,31,,,2023-09-12T16:00:00,False,Big Ten - West,Atlantic Coast
2,Austin Peay Governors,242,Tennessee Volunteers,277,,,2023-09-12T21:00:00,False,,SEC - East
2,Wisconsin Badgers,96,Washington State Cougars,256,,,2023-09-12T23:30:00,False,Big Ten - West,Pac-12
2,Ole Miss Rebels,274,Tulane Green Wave,10,,,2023-09-12T19:30:00,False,SEC - West,American Athletic
2,Jacksonville State Gamecocks,238,Coastal Carolina Chanticleers,81,,,2023-09-12T23:00:00,False,Conference USA,Sun Belt - East
2,Texas Longhorns,109,Alabama Crimson Tide,275,-9.6,,2023-09-12T23:00:00,False,Big 12,SEC - West
2,Arizona Wildcats,247,Mississippi State Bulldogs,278,,,2023-09-12T23:30:00,False,Pac-12,SEC - West
2,Delaware State Hornets,201,Army Black Knights,263,,,2023-09-12T16:00:00,False,,FBS Independents
2,Nebraska Cornhuskers,99,Colorado Buffaloes,250,14.0,,2023-09-12T16:00:00,False,Big Ten - West,Pac-12
2,McNeese Cowboys,299,Florida Gators,271,,,2023-09-12T23:30:00,False,,SEC - East
2,Ball State Cardinals,184,Georgia Bulldogs,272,,,2023-09-12T16:00:00,False,Mid-American - West,SEC - East
2,Iowa Hawkeyes,91,Iowa State Cyclones,110,,,2023-09-12T19:30:00,False,Big Ten - West,Big 12
2,UTEP Miners,139,Northwestern Wildcats,100,,,2023-09-12T19:30:00,False,Conference USA,Big Ten - West
2,Kent State Golden Flashes,178,Arkansas Razorbacks,276,,,2023-09-12T20:00:00,False,Mid-American - East,SEC - West
2,Indiana State Sycamores,207,Indiana Hoosiers,93,,,2023-09-11T23:00:00,False,,Big Ten - East
2,Eastern Kentucky Colonels,237,Kentucky Wildcats,268,,,2023-09-12T19:00:00,False,,SEC - East
2,Houston Christian Huskies,293,Western Kentucky Hilltoppers,144,,,2023-09-12T23:00:00,False,,Conference USA
2,Grambling Tigers,312,LSU Tigers,269,,,2023-09-12T23:30:00,False,,SEC - West
2,UC Davis Aggies,118,Oregon State Beavers,252,,,2023-09-13T01:00:00,False,,Pac-12
2,UCLA Bruins,253,San Diego State Aztecs,212,,,2023-09-12T23:30:00,False,Pac-12,Mountain West
2,Utah Utes,248,Baylor Bears,108,,,2023-09-12T16:00:00,False,Pac-12,Big 12
2,Tulsa Golden Hurricane,5,Washington Huskies,249,,,2023-09-12T21:00:00,False,American Athletic,Pac-12
2,Oregon Ducks,245,Texas Tech Red Raiders,111,,,2023-09-12T23:00:00,False,Pac-12,Big 12
2,Stanford Cardinal,254,USC Trojans,246,,,2023-09-13T02:30:00,False,Pac-12,Pac-12
2,Oklahoma State Cowboys,113,Arizona State Sun Devils,255,,,2023-09-13T02:30:00,False,Big 12,Pac-12
2,Notre Dame Fighting Irish,25,NC State Wolfpack,33,,,2023-09-12T16:00:00,False,FBS Independents,Atlantic Coast
2,Holy Cross Crusaders,264,Boston College Eagles,35,,,2023-09-12T16:00:00,False,,Atlantic Coast
2,Lafayette Leopards,266,Duke Blue Devils,26,,,2023-09-12T22:00:00,False,,Atlantic Coast
2,Appalachian State Mountaineers,331,North Carolina Tar Heels,21,,,2023-09-12T21:15:00,False,Sun Belt - East,Atlantic Coast
2,Western Michigan Broncos,188,Syracuse Orange,30,,,2023-09-12T19:30:00,False,Mid-American - West,Atlantic Coast
2,Cincinnati Bearcats,4,Pittsburgh Panthers,28,,,2023-09-12T22:30:00,False,Big 12,Atlantic Coast
2,Charleston Southern Buccaneers,88,Clemson Tigers,27,,,2023-09-12T18:15:00,False,,Atlantic Coast
2,James Madison Dukes,126,Virginia Cavaliers,22,,,2023-09-12T16:00:00,False,Sun Belt - East,Atlantic Coast
2,Southern Miss Golden Eagles,143,Florida State Seminoles,29,,,2023-09-13T00:30:00,False,Sun Belt - West,Atlantic Coast
2,South Carolina State Bulldogs,190,Georgia Tech Yellow Jackets,32,,,2023-09-12T17:00:00,False,,Atlantic Coast
2,Murray State Racers,240,Louisville Cardinals,24,,,2023-09-10T23:30:00,False,,Atlantic Coast
2,SMU Mustangs,1,Oklahoma Sooners,105,,,2023-09-12T22:00:00,False,American Athletic,Big 12
2,Troy Trojans,333,Kansas State Wildcats,112,,,2023-09-12T16:00:00,False,Sun Belt - West,Big 12
2,Houston Cougars,6,Rice Owls,146,,,2023-09-12T23:00:00,False,Big 12,American Athletic
2,Southern Utah Thunderbirds,78,BYU Cougars,336,,,2023-09-12T19:00:00,False,,Big 12
2,Nicholls Colonels,302,TCU Horned Frogs,114,,,2023-09-13T00:00:00,False,,Big 12
2,Duquesne Dukes,51,West Virginia Mountaineers,107,,,2023-09-12T22:00:00,False,,Big 12
2,UCF Knights,8,Boise State Broncos,215,,,2023-09-12T23:00:00,False,Big 12,Mountain West
2,Miami (OH) RedHawks,182,UMass Minutemen,55,,,2023-09-12T19:30:00,False,Mid-American - East,FBS Independents
2,Marshall Thundering Herd,136,East Carolina Pirates,9,,,2023-09-12T20:00:00,False,Sun Belt - East,American Athletic
2,Memphis Tigers,7,Arkansas State Red Wolves,327,,,2023-09-12T23:00:00,False,American Athletic,Sun Belt - West
2,Ohio Bobcats,180,Florida Atlantic Owls,145,,,2023-09-12T22:00:00,False,Mid-American - East,American Athletic
2,Wagner Seahawks,223,Navy Midshipmen,258,,,2023-09-12T19:30:00,False,,American Athletic
2,Texas State Bobcats,332,UTSA Roadrunners,147,,,2023-09-12T19:30:00,False,Sun Belt - West,American Athletic
2,UAB Blazers,134,Georgia Southern Eagles,329,,,2023-09-12T22:00:00,False,American Athletic,Sun Belt - East
2,Florida A&M Rattlers,198,South Florida Bulls,11,,,2023-09-12T23:00:00,False,,American Athletic
2,Lamar Cardinals,303,UL Monroe Warhawks,326,,,2023-09-13T00:00:00,False,,Sun Belt - West
2,Louisiana Ragin Cajuns,324,Old Dominion Monarchs,138,,,2023-09-12T22:00:00,False,Sun Belt - West,Sun Belt - East
2,SE Louisiana Lions,300,South Alabama Jaguars,330,,,2023-09-12T21:00:00,False,,Sun Belt - West
2,Eastern Illinois Panthers,239,Bowling Green Falcons,181,,,2023-09-12T18:00:00,False,,Mid-American - East
2,Morgan State Bears,199,Akron Zips,177,,,2023-09-12T22:00:00,False,,Mid-American - East
2,Fordham Rams,53,Buffalo Bulls,179,,,2023-09-12T22:00:00,False,,Mid-American - East
2,New Hampshire Wildcats,14,Central Michigan Chippewas,185,,,2023-09-12T17:30:00,False,,Mid-American - West
