Week,AwayTeamName,HomeTeamName,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,TeamsConcatenated,ConferenceConcatenated
3,James Madison Dukes,Troy Trojans,-1.9,35.2,2023-09-14T23:00:00,False,James Madison Dukes vs Troy Trojans,Sun Belt - East vs Sun Belt - West
3,Duquesne Dukes,Coastal Carolina Chanticleers,-26.5,42.3,2023-09-14T23:00:00,False,Duquesne Dukes vs Coastal Carolina Chanticleers,Unknown vs Sun Belt - East
3,Jackson State Tigers,Texas State Bobcats,-13.6,46.9,2023-09-15T00:30:00,False,Jackson State Tigers vs Texas State Bobcats,Unknown vs Sun Belt - West
3,Indiana State Sycamores,Ball State Cardinals,-20.4,34.0,2023-09-14T18:00:00,False,Indiana State Sycamores vs Ball State Cardinals,Unknown vs Mid-American - West
3,Central Connecticut Blue Devils,Kent State Golden Flashes,-16.3,35.2,2023-09-14T16:00:00,False,Central Connecticut Blue Devils vs Kent State Golden Flashes,Unknown vs Mid-American - East
3,San Jose State Spartans,Toledo Rockets,-7.2,42.7,2023-09-14T23:00:00,False,San Jose State Spartans vs Toledo Rockets,Mountain West vs Mid-American - West
3,Utah State Aggies,Air Force Falcons,-7.2,34.4,2023-09-14T00:00:00,False,Utah State Aggies vs Air Force Falcons,Mountain West vs Mountain West
3,North Dakota Fighting Hawks,Boise State Broncos,-12.1,43.8,2023-09-14T16:00:00,False,North Dakota Fighting Hawks vs Boise State Broncos,Unknown vs Mountain West
4,Maryland Terrapins,Michigan State Spartans,12.1,66.0,2023-09-24T19:30:00,False,Maryland Terrapins vs Michigan State Spartans,Big Ten - East vs Big Ten - East
4,Rutgers Scarlet Knights,Michigan Wolverines,-30.5,56.5,2023-09-24T16:00:00,False,Rutgers Scarlet Knights vs Michigan Wolverines,Big Ten - East vs Big Ten - East
4,Louisiana Tech Bulldogs,Nebraska Cornhuskers,-26.0,56.5,2023-09-24T19:30:00,False,Louisiana Tech Bulldogs vs Nebraska Cornhuskers,Conference USA vs Big Ten - West
4,Army Black Knights,Syracuse Orange,-17.1,64.1,2023-09-24T16:00:00,False,Army Black Knights vs Syracuse Orange,FBS Independents vs Atlantic Coast
4,Iowa Hawkeyes,Penn State Nittany Lions,-17.8,48.9,2023-09-24T23:30:00,False,Iowa Hawkeyes vs Penn State Nittany Lions,Big Ten - West vs Big Ten - East
4,Missouri Tigers,Memphis Tigers,10.5,66.0,2023-09-24T23:30:00,True,Missouri Tigers vs Memphis Tigers,SEC - East vs American Athletic
4,Kentucky Wildcats,Vanderbilt Commodores,16.5,64.1,2023-09-24T16:00:00,False,Kentucky Wildcats vs Vanderbilt Commodores,SEC - East vs SEC - East
4,Colorado State Rams,Middle Tennessee Blue Raiders,-5.1,63.5,2023-09-24T23:00:00,False,Colorado State Rams vs Middle Tennessee Blue Raiders,Mountain West vs Conference USA
