Week,AwayTeamName,AwayTeamID,HomeTeamName,HomeTeamID,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,Conference_away,Conference_home,TeamsConcatenated
7,Miami Hurricanes,23,North Carolina Tar Heels,21,,,,False,Atlantic Coast,Atlantic Coast,Miami Hurricanes vs North Carolina Tar Heels
7,Louisville Cardinals,24,Pittsburgh Panthers,28,,,,False,Atlantic Coast,Atlantic Coast,Louisville Cardinals vs Pittsburgh Panthers
7,Wake Forest Demon Deacons,34,Virginia Tech Hokies,31,,,,False,Atlantic Coast,Atlantic Coast,Wake Forest Demon Deacons vs Virginia Tech Hokies
7,Syracuse Orange,30,Florida State Seminoles,29,,,,False,Atlantic Coast,Atlantic Coast,Syracuse Orange vs Florida State Seminoles
7,Kansas Jayhawks,106,Oklahoma State Cowboys,113,,,,False,Big 12,Big 12,Kansas Jayhawks vs Oklahoma State Cowboys
7,Iowa State Cyclones,110,Cincinnati Bearcats,4,,,,False,Big 12,Big 12,Iowa State Cyclones vs Cincinnati Bearcats
7,West Virginia Mountaineers,107,Houston Cougars,6,,,2023-10-09T23:00:00,False,Big 12,Big 12,West Virginia Mountaineers vs Houston Cougars
7,BYU Cougars,336,TCU Horned Frogs,114,,,,False,Big 12,Big 12,BYU Cougars vs TCU Horned Frogs
7,Kansas State Wildcats,112,Texas Tech Red Raiders,111,,,,False,Big 12,Big 12,Kansas State Wildcats vs Texas Tech Red Raiders
7,SMU Mustangs,1,East Carolina Pirates,9,,,2023-10-09T23:30:00,False,American Athletic,American Athletic,SMU Mustangs vs East Carolina Pirates
7,Tulane Green Wave,10,Memphis Tigers,7,,,2023-10-10T23:00:00,False,American Athletic,American Athletic,Tulane Green Wave vs Memphis Tigers
7,Navy Midshipmen,258,Charlotte 49ers,142,,,,False,American Athletic,American Athletic,Navy Midshipmen vs Charlotte 49ers
7,Temple Owls,2,North Texas Mean Green,141,,,,False,American Athletic,American Athletic,Temple Owls vs North Texas Mean Green
7,UAB Blazers,134,UTSA Roadrunners,147,,,,False,American Athletic,American Athletic,UAB Blazers vs UTSA Roadrunners
7,Florida Atlantic Owls,145,South Florida Bulls,11,,,,False,American Athletic,American Athletic,Florida Atlantic Owls vs South Florida Bulls
7,Coastal Carolina Chanticleers,81,Appalachian State Mountaineers,331,,,2023-10-07T23:30:00,False,Sun Belt - East,Sun Belt - East,Coastal Carolina Chanticleers vs Appalachian State Mountaineers
7,Marshall Thundering Herd,136,Georgia State Panthers,328,,,,False,Sun Belt - East,Sun Belt - East,Marshall Thundering Herd vs Georgia State Panthers
7,Georgia Southern Eagles,329,James Madison Dukes,126,,,,False,Sun Belt - East,Sun Belt - East,Georgia Southern Eagles vs James Madison Dukes
7,UL Monroe Warhawks,326,Texas State Bobcats,332,,,,False,Sun Belt - West,Sun Belt - West,UL Monroe Warhawks vs Texas State Bobcats
7,Toledo Rockets,183,Ball State Cardinals,184,,,,False,Mid-American - West,Mid-American - West,Toledo Rockets vs Ball State Cardinals
7,Bowling Green Falcons,181,Buffalo Bulls,179,,,2023-10-11T19:30:00,False,Mid-American - East,Mid-American - East,Bowling Green Falcons vs Buffalo Bulls
7,Akron Zips,177,Central Michigan Chippewas,185,,,2023-10-11T19:30:00,False,Mid-American - East,Mid-American - West,Akron Zips vs Central Michigan Chippewas
7,Kent State Golden Flashes,178,Eastern Michigan Eagles,187,,,,False,Mid-American - East,Mid-American - West,Kent State Golden Flashes vs Eastern Michigan Eagles
7,Ohio Bobcats,180,Northern Illinois Huskies,186,,,2023-10-11T19:30:00,False,Mid-American - East,Mid-American - West,Ohio Bobcats vs Northern Illinois Huskies
7,Miami (OH) RedHawks,182,Western Michigan Broncos,188,,,2023-10-11T19:30:00,False,Mid-American - East,Mid-American - West,Miami (OH) RedHawks vs Western Michigan Broncos
7,San Jose State Spartans,222,New Mexico Lobos,214,,,,False,Mountain West,Mountain West,San Jose State Spartans vs New Mexico Lobos
7,Wyoming Cowboys,219,Air Force Falcons,221,,,2023-10-11T23:00:00,False,Mountain West,Mountain West,Wyoming Cowboys vs Air Force Falcons
7,UNLV Rebels,218,Nevada Wolf Pack,216,,,2023-10-11T21:00:00,False,Mountain West,Mountain West,UNLV Rebels vs Nevada Wolf Pack
7,Fresno State Bulldogs,213,Utah State Aggies,220,,,2023-10-11T00:00:00,False,Mountain West,Mountain West,Fresno State Bulldogs vs Utah State Aggies
7,Boise State Broncos,215,Colorado State Rams,217,,,,False,Mountain West,Mountain West,Boise State Broncos vs Colorado State Rams
7,San Diego State Aztecs,212,Hawaii Rainbow Warriors,115,,,2023-10-12T03:00:00,False,Mountain West,Mountain West,San Diego State Aztecs vs Hawaii Rainbow Warriors
8,Michigan Wolverines,95,Michigan State Spartans,97,22.2,,,False,Big Ten - East,Big Ten - East,Michigan Wolverines vs Michigan State Spartans
8,South Carolina Gamecocks,267,Missouri Tigers,280,,,,False,SEC - East,SEC - East,South Carolina Gamecocks vs Missouri Tigers
8,Northwestern Wildcats,100,Nebraska Cornhuskers,99,,,,False,Big Ten - West,Big Ten - West,Northwestern Wildcats vs Nebraska Cornhuskers
8,Penn State Nittany Lions,101,Ohio State Buckeyes,98,-11.4,,,False,Big Ten - East,Big Ten - East,Penn State Nittany Lions vs Ohio State Buckeyes
